market_ticker,event_ticker,series_ticker,market_type,title,yes_sub_title,no_sub_title,result,result_binary,status,open_time,close_time,expected_expiration_time,strike_date,tipoff_ts_used,tipoff_source,candle_ts,price_at_start_yes_bid,price_at_start_yes_ask,price_at_start_mid,price_at_start_last,n_candles_in_window,volume,open_interest
KXCOACHOUTNBA-0-26-WAS,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Brian Keefe,Brian Keefe,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,2350.00,0.00
KXCOACHOUTNBA-0-26-SAS,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Mitchell Johnson,Mitchell Johnson,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,606.00,0.00
KXCOACHOUTNBA-0-26-SAC,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Doug Christie,Doug Christie,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,9666.00,0.00
KXCOACHOUTNBA-0-26-PHX,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Jordan Ott,Jordan Ott,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,11.00,0.00
KXCOACHOUTNBA-0-26-ORL,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Jamahl Mosley,Jamahl Mosley,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,2312.00,0.00
KXCOACHOUTNBA-0-26-NO,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Willie Green,Willie Green,yes,1,finalized,2025-06-07T14:00:00Z,2025-11-15T18:46:43.016604Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,9325.00,0.00
KXCOACHOUTNBA-0-26-MIA,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Erik Spoelstra,Erik Spoelstra,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,472.00,0.00
KXCOACHOUTNBA-0-26-MEM,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Tuomas Iisalo,Tuomas Iisalo,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,62.00,0.00
KXCOACHOUTNBA-0-26-LAL,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,JJ Reddick,JJ Reddick,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,542.00,0.00
KXCOACHOUTNBA-0-26-LAC,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Tyronn Lue,Tyronn Lue,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,18248.00,0.00
KXCOACHOUTNBA-0-26-HOU,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Ime Udoka,Ime Udoka,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,32.00,0.00
KXCOACHOUTNBA-0-26-DAL,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Jason Kidd,Jason Kidd,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,4419.00,0.00
KXCOACHOUTNBA-0-26-CHA,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Charles Lee,Charles Lee,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,1461.00,0.00
KXCOACHOUTNBA-0-26-ATL,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Quin Snyder,Quin Snyder,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,2091.00,0.00
KXCOACHOUTNBA-0-26-UTA,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Will Hardy,Will Hardy,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,50.00,0.00
KXCOACHOUTNBA-0-26-TOR,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Darko Rajakovic,Darko Rajakovic,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,307.00,0.00
KXCOACHOUTNBA-0-26-POR,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Chauncey Billups,Chauncey Billups,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,22208.00,0.00
KXCOACHOUTNBA-0-26-PHI,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Nick Nurse,Nick Nurse,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,1505.00,0.00
KXCOACHOUTNBA-0-26-OKC,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Mark Daigneault,Mark Daigneault,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,26.00,0.00
KXCOACHOUTNBA-0-26-MIN,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Chris Finch,Chris Finch,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,1462.00,0.00
KXCOACHOUTNBA-0-26-MIL,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Doc Rivers,Doc Rivers,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,4597.00,0.00
KXCOACHOUTNBA-0-26-IND,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Rick Carlisle,Rick Carlisle,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,139.00,0.00
KXCOACHOUTNBA-0-26-GS,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,Steve Kerr,Steve Kerr,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,203.00,0.00
KXCOACHOUTNBA-0-26-DET,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,J.B. Bickerstaff,J.B. Bickerstaff,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,0.00,0.00
KXCOACHOUTNBA-0-26-DEN,KXCOACHOUTNBA-0,KXCOACHOUTNBA,other,Which pro men's basketball coachces will be out before 2026?,David Adelman,David Adelman,no,0,finalized,2025-06-07T14:00:00Z,2026-01-01T04:59:00Z,2026-01-01T15:00:00Z,,1767270600,expected_expiration-150m,,,,,,0,883.00,0.00
