market_ticker,event_ticker,series_ticker,market_type,title,yes_sub_title,no_sub_title,result,result_binary,status,open_time,close_time,expected_expiration_time,volume,open_interest,tipoff_ts_used,tipoff_source,candle_ts,price_at_start_yes_bid,price_at_start_yes_ask,price_at_start_mid,price_at_start_last,n_candles_in_window
KXNBAGAME-26MAY26SASOKC-SAS,KXNBAGAME-26MAY26SASOKC,KXNBAGAME,game_winner,Game 5: San Antonio at Oklahoma City Winner?,San Antonio,San Antonio,no,0,finalized,2026-05-21T03:26:00Z,2026-05-27T03:17:28Z,2026-05-27T03:30:00Z,35617439.95,22978916.42,1779843600,expected_expiration-150m,1779843600,0.43,0.44,0.435,0.44,111
KXNBAGAME-26MAY30SASOKC-OKC,KXNBAGAME-26MAY30SASOKC,KXNBAGAME,game_winner,Game 7: San Antonio at Oklahoma City Winner?,Oklahoma City,Oklahoma City,no,0,finalized,2026-05-29T16:00:00Z,2026-05-31T02:50:36Z,2026-05-31T03:00:00Z,108750.56,86273.41,1780187400,expected_expiration-150m,1780187400,0.36,0.39,0.375,0.36,69
KXNBAGAME-26JUN03NYKSAS-SAS,KXNBAGAME-26JUN03NYKSAS,KXNBAGAME,game_winner,Game 1: New York at San Antonio Winner?,San Antonio,San Antonio,no,0,finalized,2026-05-31T03:14:00Z,2026-06-04T03:16:00Z,2026-06-04T03:30:00Z,33578429.98,19357407.89,1780534800,expected_expiration-150m,1780534800,0.62,0.63,0.625,0.62,111
KXNBAGAME-26MAY24OKCSAS-SAS,KXNBAGAME-26MAY24OKCSAS,KXNBAGAME,game_winner,Game 4: Oklahoma City at San Antonio Winner?,San Antonio,San Antonio,yes,1,finalized,2026-05-16T13:57:00Z,2026-05-25T02:52:29Z,2026-05-25T03:00:00Z,17625730.12,10609630.97,1779669000,expected_expiration-150m,1779669000,0.74,0.75,0.745,0.75,111
KXNBAGAME-26MAY24OKCSAS-OKC,KXNBAGAME-26MAY24OKCSAS,KXNBAGAME,game_winner,Game 4: Oklahoma City at San Antonio Winner?,Oklahoma City,Oklahoma City,no,0,finalized,2026-05-16T13:57:00Z,2026-05-25T02:52:29Z,2026-05-25T03:00:00Z,34963480.74,25879378.45,1779669000,expected_expiration-150m,1779669000,0.25,0.26,0.255,0.26,111
KXNBAGAME-26MAY22OKCSAS-SAS,KXNBAGAME-26MAY22OKCSAS,KXNBAGAME,game_winner,Game 3: Oklahoma City at San Antonio Winner?,San Antonio,San Antonio,no,0,finalized,2026-05-16T13:57:00Z,2026-05-23T03:25:21Z,2026-05-23T03:30:00Z,31826279.34,19088750.30,1779498000,expected_expiration-150m,1779498000,0.63,0.65,0.64,0.65,111
KXNBAGAME-26MAY26SASOKC-OKC,KXNBAGAME-26MAY26SASOKC,KXNBAGAME,game_winner,Game 5: San Antonio at Oklahoma City Winner?,Oklahoma City,Oklahoma City,yes,1,finalized,2026-05-21T03:26:00Z,2026-05-27T03:17:28Z,2026-05-27T03:30:00Z,20095486.43,11831267.13,1779843600,expected_expiration-150m,1779843600,0.57,0.58,0.575,0.58,111
KXNBAGAME-26MAY22OKCSAS-OKC,KXNBAGAME-26MAY22OKCSAS,KXNBAGAME,game_winner,Game 3: Oklahoma City at San Antonio Winner?,Oklahoma City,Oklahoma City,yes,1,finalized,2026-05-16T13:57:00Z,2026-05-23T03:25:21Z,2026-05-23T03:30:00Z,24133763.13,12721376.34,1779498000,expected_expiration-150m,1779498000,0.35,0.36,0.355,0.36,111
KXNBAGAME-26MAY23NYKCLE-CLE,KXNBAGAME-26MAY23NYKCLE,KXNBAGAME,game_winner,Game 3: New York at Cleveland Winner?,Cleveland,Cleveland,no,0,finalized,2026-05-18T03:39:00Z,2026-05-24T02:47:09Z,2026-05-24T03:00:00Z,20739544.37,12544750.34,1779582600,expected_expiration-150m,1779582600,0.43,0.44,0.435,0.43,111
KXNBAGAME-26MAY20SASOKC-OKC,KXNBAGAME-26MAY20SASOKC,KXNBAGAME,game_winner,Game 2: San Antonio at Oklahoma City Winner?,Oklahoma City,Oklahoma City,yes,1,finalized,2026-05-16T13:57:00Z,2026-05-21T03:07:13Z,2026-05-21T03:30:00Z,14793058.55,8648098.95,1779325200,expected_expiration-150m,1779325200,0.63,0.64,0.635,0.64,111
KXNBAGAME-26MAY23NYKCLE-NYK,KXNBAGAME-26MAY23NYKCLE,KXNBAGAME,game_winner,Game 3: New York at Cleveland Winner?,New York,New York,yes,1,finalized,2026-05-18T03:39:00Z,2026-05-24T02:47:09Z,2026-05-24T03:00:00Z,24569916.81,14475866.87,1779582600,expected_expiration-150m,1779582600,0.56,0.57,0.565,0.57,111
KXNBAGAME-26MAY30SASOKC-SAS,KXNBAGAME-26MAY30SASOKC,KXNBAGAME,game_winner,Game 7: San Antonio at Oklahoma City Winner?,San Antonio,San Antonio,yes,1,finalized,2026-05-29T16:00:00Z,2026-05-31T02:50:36Z,2026-05-31T03:00:00Z,122799.21,92125.13,1780187400,expected_expiration-150m,1780187400,0.62,0.64,0.63,0.64,73
KXNBAGAME-26MAY21CLENYK-CLE,KXNBAGAME-26MAY21CLENYK,KXNBAGAME,game_winner,Game 2: Cleveland at New York Winner?,Cleveland,Cleveland,no,0,finalized,2026-05-18T03:39:00Z,2026-05-22T02:44:24Z,2026-05-22T03:00:00Z,23212275.75,14901924.71,1779409800,expected_expiration-150m,1779409800,0.38,0.39,0.385,0.39,111
KXNBAGAME-26JUN05NYKSAS-NYK,KXNBAGAME-26JUN05NYKSAS,KXNBAGAME,game_winner,Game 2: New York at San Antonio Winner?,New York,New York,yes,1,finalized,2026-05-31T03:14:00Z,2026-06-06T03:29:37Z,2026-06-06T03:30:00Z,62029076.01,26238837.92,1780707600,expected_expiration-150m,1780707600,0.25,0.26,0.255,0.26,111
KXNBAGAME-26MAY18SASOKC-SAS,KXNBAGAME-26MAY18SASOKC,KXNBAGAME,game_winner,Game 1: San Antonio at Oklahoma City Winner?,San Antonio,San Antonio,yes,1,finalized,2026-05-16T13:57:00Z,2026-05-19T03:45:08Z,2026-05-19T03:30:00Z,37585684.19,15868906.55,1779152400,expected_expiration-150m,1779152400,0.28,0.29,0.28500000000000003,0.29,111
KXNBAGAME-26MAY13CLEDET-DET,KXNBAGAME-26MAY13CLEDET,KXNBAGAME,game_winner,Game 5: Cleveland at Detroit Winner?,Detroit,Detroit,no,0,finalized,2026-05-10T01:06:00Z,2026-05-14T03:07:37Z,2026-05-13T20:00:00Z,21241841.01,8733196.04,1778693400,expected_expiration-150m,1778693400,0.61,0.62,0.615,0.62,111
KXNBAGAME-26MAY13CLEDET-CLE,KXNBAGAME-26MAY13CLEDET,KXNBAGAME,game_winner,Game 5: Cleveland at Detroit Winner?,Cleveland,Cleveland,yes,1,finalized,2026-05-10T01:06:00Z,2026-05-14T03:07:37Z,2026-05-13T20:00:00Z,21962009.55,8734939.56,1778693400,expected_expiration-150m,1778693400,0.38,0.39,0.385,0.39,111
KXNBAGAME-26MAY12MINSAS-SAS,KXNBAGAME-26MAY12MINSAS,KXNBAGAME,game_winner,Game 5: Minnesota at San Antonio Winner?,San Antonio,San Antonio,yes,1,finalized,2026-05-07T07:06:00Z,2026-05-13T02:42:52Z,2026-05-12T20:00:00Z,9717083.02,6344029.97,1778607000,expected_expiration-150m,1778607000,0.77,0.78,0.775,0.78,111
KXNBAGAME-26MAY20SASOKC-SAS,KXNBAGAME-26MAY20SASOKC,KXNBAGAME,game_winner,Game 2: San Antonio at Oklahoma City Winner?,San Antonio,San Antonio,no,0,finalized,2026-05-16T13:57:00Z,2026-05-21T03:07:13Z,2026-05-21T03:30:00Z,42095720.57,25602073.52,1779325200,expected_expiration-150m,1779325200,0.36,0.37,0.365,0.37,111
KXNBAGAME-26MAY11DETCLE-DET,KXNBAGAME-26MAY11DETCLE,KXNBAGAME,game_winner,Game 4: Detroit at Cleveland Winner?,Detroit,Detroit,no,0,finalized,2026-05-04T15:06:00Z,2026-05-12T02:42:19Z,2026-05-12T03:00:00Z,21617599.53,12498068.25,1778545800,expected_expiration-150m,1778545800,0.37,0.38,0.375,0.38,111
KXNBAGAME-26MAY11DETCLE-CLE,KXNBAGAME-26MAY11DETCLE,KXNBAGAME,game_winner,Game 4: Detroit at Cleveland Winner?,Cleveland,Cleveland,yes,1,finalized,2026-05-04T15:06:00Z,2026-05-12T02:42:19Z,2026-05-12T03:00:00Z,11215688.25,6156191.95,1778545800,expected_expiration-150m,1778545800,0.62,0.63,0.625,0.63,111
